trade_id,symbol,timeframe,direction,entry_price,sl_price,target_price,result,pnl_r,setup_type,session,notes,date,chart_image
T0001,NSE:NIFTY BANK,5minute,SHORT,58798.88,58959.16,58478.32,LOSS,-1.0,OB_BOS,INDIA_MID,SETUP-D,2025-12-30,
T0002,NSE:NIFTY 50,5minute,LONG,26144.8,26123.25,26187.9,WIN,0.7889,OB_BOS,INDIA_MID,SETUP-D,2026-01-01,
T0003,NSE:NIFTY BANK,5minute,LONG,59699.35,59601.45,59895.15,WIN,2.0,OB_CONTINUATION,KILLZONE_AM,UNIVERSAL-LONG,2026-01-02,
T0004,NSE:NIFTY BANK,5minute,SHORT,59999.43,60072.42,59853.45,LOSS,-1.0,OB_BOS,INDIA_MID,SETUP-D,2026-01-05,
T0005,NSE:NIFTY BANK,5minute,LONG,60015.65,59859.73,60327.5,WIN,2.0,OB_CONTINUATION,KILLZONE_AM,UNIVERSAL-LONG,2026-01-05,
T0006,NSE:NIFTY BANK,5minute,LONG,60337.35,60110.4,60791.25,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-01-05,
T0007,NSE:NIFTY BANK,5minute,SHORT,60170.57,60277.05,59957.61,WIN,0.5153,OB_BOS,INDIA_MID,SETUP-D,2026-01-06,
T0008,NSE:NIFTY 50,5minute,SHORT,26146.33,26172.11,26094.77,LOSS,-1.2479,OB_BOS,INDIA_MID,SETUP-D,2026-01-06,
T0009,NSE:NIFTY BANK,5minute,SHORT,60226.7,60318.9,60042.3,WIN,2.0,OB_CONTINUATION,LONDON_OVERLAP,UNIVERSAL-SHORT,2026-01-06,
T0010,NSE:NIFTY 50,5minute,SHORT,26162.62,26180.89,26126.08,WIN,1.9989,OB_BOS,INDIA_MID,SETUP-D,2026-01-07,
T0011,NSE:NIFTY BANK,5minute,LONG,59952.6,59858.1,60141.6,LOSS,-1.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-LONG,2026-01-07,
T0012,NSE:NIFTY BANK,5minute,SHORT,60175.45,60368.47,59789.4,WIN,2.0,OB_CONTINUATION,INDIA_MID,UNIVERSAL-SHORT,2026-01-07,
