trade_id,symbol,setup,direction,entry_price,sl,target,rr,smc_score,entry_time,exit_price,exit_time,exit_reason,gross_pnl_pts,net_pnl_pts,r_multiple,cost_pts
1,NSE:NIFTY 50,SETUP-A,LONG,26254.05,26210.78,26383.87,3.0,6,2026-01-02T11:10:00+05:30,26335.7,2026-01-02T15:25:00+05:30,EOD,81.65,2.84,1.887,78.81
2,NSE:NIFTY 50,SETUP-A,LONG,26361.85,26288.93,26580.6,3.0,7,2026-01-05T11:00:00+05:30,26288.93,2026-01-05T13:30:00+05:30,SL,-72.92,-151.76,-1.0,78.84
3,NSE:NIFTY 50,SETUP-A,SHORT,26154.85,26221.88,25953.76,3.0,6,2026-01-06T11:20:00+05:30,26174.65,2026-01-06T15:25:00+05:30,EOD,-19.8,-98.25,-0.2954,78.45
4,NSE:NIFTY 50,SETUP-A,SHORT,26108.05,26148.11,25987.88,3.0,6,2026-01-07T09:50:00+05:30,26148.11,2026-01-07T10:00:00+05:30,SL,-40.06,-118.42,-1.0,78.36
5,NSE:NIFTY 50,SETUP-A,SHORT,26016.8,26063.5,25876.7,3.0,6,2026-01-08T11:00:00+05:30,25876.7,2026-01-08T15:00:00+05:30,TP,140.1,62.27,3.0,77.83
6,NSE:NIFTY 50,SETUP-A,SHORT,25810.65,25897.95,25548.74,3.0,6,2026-01-09T11:00:00+05:30,25703.7,2026-01-09T15:25:00+05:30,EOD,106.95,29.61,1.2251,77.34
7,NSE:NIFTY 50,SETUP-A,SHORT,25532.45,25708.09,25005.54,3.0,5,2026-01-12T09:25:00+05:30,25708.09,2026-01-12T12:40:00+05:30,SL,-175.64,-252.71,-1.0,77.07
8,NSE:NIFTY 50,SETUP-A,SHORT,25755.85,25790.19,25652.82,3.0,7,2026-01-14T12:25:00+05:30,25652.82,2026-01-14T13:45:00+05:30,TP,103.03,25.82,3.0003,77.21
9,NSE:NIFTY 50,SETUP-A,SHORT,25767.85,25828.19,25586.84,3.0,7,2026-01-16T12:35:00+05:30,25701.9,2026-01-16T15:25:00+05:30,EOD,65.95,-11.35,1.093,77.3
10,NSE:NIFTY 50,SETUP-A,SHORT,25432.7,25491.6,25255.99,3.0,8,2026-01-20T12:05:00+05:30,25255.99,2026-01-20T15:10:00+05:30,TP,176.71,100.47,3.0002,76.24
11,NSE:NIFTY 50,SETUP-A,SHORT,25221.4,25395.83,24698.11,3.0,6,2026-01-21T09:20:00+05:30,25168.1,2026-01-21T15:25:00+05:30,EOD,53.3,-22.59,0.3056,75.89
12,NSE:NIFTY 50,SETUP-A,LONG,25419.5,25311.69,25742.94,3.0,6,2026-01-22T09:45:00+05:30,25311.69,2026-01-22T10:25:00+05:30,SL,-107.81,-184.13,-1.0,76.32
13,NSE:NIFTY 50,SETUP-C,LONG,25320.1,25130.75,25698.81,2.0,7,2026-01-23T09:20:00+05:30,25130.75,2026-01-23T13:20:00+05:30,SL,-189.35,-265.28,-1.0,75.93
14,NSE:NIFTY 50,SETUP-A,LONG,25329.25,25267.91,25513.28,3.0,7,2026-01-29T12:50:00+05:30,25422.1,2026-01-29T15:25:00+05:30,EOD,92.85,16.44,1.5137,76.41
15,NSE:NIFTY 50,SETUP-A,LONG,25292.25,25232.54,25471.39,3.0,6,2026-01-30T09:40:00+05:30,25232.54,2026-01-30T11:30:00+05:30,SL,-59.71,-135.77,-1.0,76.06
16,NSE:NIFTY 50,SETUP-C,LONG,25300.55,25234.84,25431.97,2.0,7,2026-02-01T09:20:00+05:30,25431.97,2026-02-01T11:05:00+05:30,TP,131.42,55.03,2.0,76.39
17,NSE:NIFTY 50,SETUP-A,SHORT,24851.35,24951.2,24551.79,3.0,6,2026-02-02T09:25:00+05:30,24951.2,2026-02-02T13:00:00+05:30,SL,-99.85,-175.02,-1.0,75.17
