trade_id,symbol,setup,direction,entry_price,sl,target,rr,smc_score,entry_time,exit_price,exit_time,exit_reason,gross_pnl_pts,net_pnl_pts,r_multiple,cost_pts
1,NSE:NIFTY 50,SETUP-A,LONG,25790.6,25737.32,25897.17,2.0,7,2026-01-16T12:00:00+05:30,25737.32,2026-01-16T13:00:00+05:30,SL,-53.28,-130.66,-1.0,77.38
2,NSE:NIFTY 50,SETUP-C,LONG,25556.6,25499.17,25671.46,2.0,6,2026-01-19T11:00:00+05:30,25555.5,2026-01-19T15:25:00+05:30,EOD,-1.1,-77.95,-0.0192,76.85
3,NSE:NIFTY 50,SETUP-A,SHORT,25432.7,25490.72,25316.66,2.0,8,2026-01-20T12:05:00+05:30,25316.66,2026-01-20T14:55:00+05:30,TP,116.04,39.7,2.0,76.34
4,NSE:NIFTY 50,SETUP-A,SHORT,25221.4,25393.7,24876.79,2.0,6,2026-01-21T09:20:00+05:30,25168.1,2026-01-21T15:25:00+05:30,EOD,53.3,-22.59,0.3093,75.89
5,NSE:NIFTY 50,SETUP-A,SHORT,25229.1,25287.7,25111.9,2.0,9,2026-01-22T12:50:00+05:30,25287.7,2026-01-22T14:35:00+05:30,SL,-58.6,-134.69,-1.0,76.09
6,NSE:NIFTY 50,SETUP-A,SHORT,25211.6,25277.41,25079.98,2.0,7,2026-01-23T11:40:00+05:30,25079.98,2026-01-23T13:30:00+05:30,TP,131.62,55.88,2.0,75.74
7,NSE:NIFTY 50,SETUP-A,LONG,25329.25,25269.05,25449.64,2.0,7,2026-01-29T12:50:00+05:30,25449.64,2026-01-29T14:30:00+05:30,TP,120.39,43.94,1.9998,76.45
8,NSE:NIFTY 50,SETUP-A,LONG,25292.25,25234.64,25407.47,2.0,6,2026-01-30T09:40:00+05:30,25234.64,2026-01-30T11:30:00+05:30,SL,-57.61,-133.68,-1.0,76.07
9,NSE:NIFTY 50,SETUP-C,LONG,25300.55,25236.54,25428.56,2.0,8,2026-02-01T09:20:00+05:30,25428.56,2026-02-01T11:05:00+05:30,TP,128.01,51.62,1.9998,76.39
10,NSE:NIFTY 50,SETUP-A,SHORT,24851.35,24948.3,24657.44,2.0,6,2026-02-02T09:25:00+05:30,24948.3,2026-02-02T13:00:00+05:30,SL,-96.95,-172.11,-1.0,75.16
11,NSE:NIFTY 50,SETUP-A,LONG,25784.2,25667.23,26018.15,2.0,6,2026-02-03T11:10:00+05:30,25714.8,2026-02-03T15:25:00+05:30,EOD,-69.4,-146.73,-0.5933,77.33
12,NSE:NIFTY 50,SETUP-A,LONG,25762.25,25710.24,25866.28,2.0,6,2026-02-04T09:30:00+05:30,25710.24,2026-02-04T10:35:00+05:30,SL,-52.01,-129.32,-1.0,77.31
13,NSE:NIFTY 50,SETUP-A,LONG,25673.55,25621.54,25777.57,2.0,8,2026-02-05T11:10:00+05:30,25621.54,2026-02-05T12:15:00+05:30,SL,-52.01,-129.08,-1.0,77.07
14,NSE:NIFTY 50,SETUP-A,LONG,25559.1,25495.56,25686.17,2.0,8,2026-02-06T11:05:00+05:30,25686.17,2026-02-06T15:00:00+05:30,TP,127.07,50.01,1.9998,77.06
15,NSE:NIFTY 50,SETUP-A,LONG,25857.95,25811.11,25951.62,2.0,6,2026-02-09T11:10:00+05:30,25863.3,2026-02-09T15:25:00+05:30,EOD,5.35,-72.3,0.1142,77.65
16,NSE:NIFTY 50,SETUP-A,LONG,25949.5,25841.75,26165.0,2.0,7,2026-02-10T09:55:00+05:30,25916.8,2026-02-10T15:25:00+05:30,EOD,-32.7,-110.53,-0.3035,77.83
17,NSE:NIFTY 50,SETUP-A,LONG,25966.65,25909.76,26080.42,2.0,6,2026-02-11T11:00:00+05:30,25909.76,2026-02-11T12:40:00+05:30,SL,-56.89,-134.72,-1.0,77.83
18,NSE:NIFTY 50,SETUP-A,SHORT,25532.2,25581.27,25434.06,2.0,7,2026-02-13T11:15:00+05:30,25581.27,2026-02-13T12:20:00+05:30,SL,-49.07,-125.94,-1.0,76.87
19,NSE:NIFTY 50,SETUP-A,SHORT,25472.25,25515.8,25385.14,2.0,6,2026-02-16T09:25:00+05:30,25515.8,2026-02-16T09:30:00+05:30,SL,-43.55,-120.25,-1.0,76.7
20,NSE:NIFTY 50,SETUP-A,SHORT,25641.55,25690.5,25543.66,2.0,5,2026-02-17T09:45:00+05:30,25690.5,2026-02-17T10:15:00+05:30,SL,-48.95,-126.1,-1.0,77.15
21,NSE:NIFTY 50,SETUP-A,SHORT,25652.1,25690.46,25575.39,2.0,6,2026-02-19T12:00:00+05:30,25575.39,2026-02-19T12:40:00+05:30,TP,76.71,-0.27,1.9997,76.98
22,NSE:NIFTY 50,SETUP-A,LONG,25759.05,25549.57,26178.01,2.0,5,2026-02-23T09:25:00+05:30,25704.0,2026-02-23T15:25:00+05:30,EOD,-55.05,-132.34,-0.2628,77.29
23,NSE:NIFTY BANK,SETUP-A,LONG,60046.95,59960.95,60218.96,2.0,7,2026-01-16T12:00:00+05:30,59960.95,2026-01-16T12:25:00+05:30,SL,-86.0,-252.93,-1.0,166.93
24,NSE:NIFTY BANK,SETUP-C,LONG,59779.85,59571.02,60197.52,2.0,8,2026-01-19T11:00:00+05:30,59829.9,2026-01-19T15:25:00+05:30,EOD,50.05,-116.4,0.2397,166.45
25,NSE:NIFTY BANK,SETUP-C,LONG,59824.6,59572.62,60328.56,2.0,7,2026-01-20T11:50:00+05:30,59572.62,2026-01-20T13:40:00+05:30,SL,-251.98,-418.06,-1.0,166.08
26,NSE:NIFTY BANK,SETUP-A,SHORT,59097.8,59279.61,58734.19,2.0,8,2026-01-23T11:20:00+05:30,58734.19,2026-01-23T13:30:00+05:30,TP,363.61,199.61,1.9999,164.0
27,NSE:NIFTY BANK,SETUP-C,LONG,58557.1,58258.59,59154.13,2.0,7,2026-01-27T11:00:00+05:30,59154.13,2026-01-27T15:05:00+05:30,TP,597.03,432.9,2.0,164.13
28,NSE:NIFTY BANK,SETUP-A,LONG,59615.95,59439.4,59969.05,2.0,6,2026-01-28T11:00:00+05:30,59439.4,2026-01-28T13:00:00+05:30,SL,-176.55,-342.21,-1.0,165.66
29,NSE:NIFTY BANK,SETUP-A,LONG,59456.6,59270.65,59828.49,2.0,7,2026-01-29T09:20:00+05:30,59828.49,2026-01-29T12:50:00+05:30,TP,371.89,205.77,1.9999,166.12
30,NSE:NIFTY BANK,SETUP-A,LONG,59795.8,59601.44,60184.51,2.0,6,2026-01-30T11:25:00+05:30,59601.44,2026-01-30T13:15:00+05:30,SL,-194.36,-360.46,-1.0,166.1
31,NSE:NIFTY BANK,SETUP-A,SHORT,58802.2,59496.07,57414.47,2.0,6,2026-02-01T12:20:00+05:30,58353.75,2026-02-01T15:25:00+05:30,EOD,448.45,285.36,0.6463,163.09
32,NSE:NIFTY BANK,SETUP-A,SHORT,58370.45,58674.98,57761.38,2.0,6,2026-02-02T09:35:00+05:30,58674.98,2026-02-02T15:20:00+05:30,SL,-304.53,-467.7,-1.0,163.17
33,NSE:NIFTY BANK,SETUP-A,LONG,60178.3,59981.32,60572.25,2.0,8,2026-02-04T11:25:00+05:30,60148.1,2026-02-04T15:25:00+05:30,EOD,-30.2,-197.57,-0.1533,167.37
34,NSE:NIFTY BANK,SETUP-C,LONG,60072.95,59980.76,60257.33,2.0,6,2026-02-05T11:10:00+05:30,59980.76,2026-02-05T12:15:00+05:30,SL,-92.19,-259.18,-1.0,166.99
35,NSE:NIFTY BANK,SETUP-A,SHORT,59809.3,60002.98,59421.94,2.0,6,2026-02-06T11:15:00+05:30,60002.98,2026-02-06T11:40:00+05:30,SL,-193.68,-360.44,-1.0,166.76
36,NSE:NIFTY BANK,SETUP-A,LONG,60789.35,60715.96,60936.12,2.0,6,2026-02-12T09:35:00+05:30,60715.96,2026-02-12T11:50:00+05:30,SL,-73.39,-242.28,-1.0,168.89
37,NSE:NIFTY BANK,SETUP-A,SHORT,60267.6,60508.46,59785.87,2.0,5,2026-02-13T11:15:00+05:30,60169.7,2026-02-13T15:25:00+05:30,EOD,97.9,-69.59,0.4065,167.49
38,NSE:NIFTY BANK,SETUP-A,SHORT,60650.65,61001.27,59949.41,2.0,8,2026-02-17T09:30:00+05:30,61001.27,2026-02-17T10:25:00+05:30,SL,-350.62,-519.83,-1.0,169.21
39,NSE:NIFTY BANK,SETUP-A,SHORT,61118.55,61220.08,60915.49,2.0,5,2026-02-19T12:25:00+05:30,60915.49,2026-02-19T14:05:00+05:30,TP,203.06,33.51,2.0,169.55
40,NSE:NIFTY BANK,SETUP-A,SHORT,61241.85,61491.29,60742.96,2.0,7,2026-02-23T09:40:00+05:30,61275.0,2026-02-23T15:25:00+05:30,EOD,-33.15,-203.4,-0.1329,170.25
