trade_id,symbol,setup,direction,entry_price,sl,target,rr,smc_score,entry_time,exit_price,exit_time,exit_reason,gross_pnl_pts,net_pnl_pts,r_multiple,cost_pts
1,NSE:NIFTY 50,SETUP-A,SHORT,24599.25,24650.95,24444.14,3.0,5,2025-09-03T12:55:00+05:30,24650.95,2025-09-03T13:55:00+05:30,SL,-51.7,-126.13,-1.0,74.43
2,NSE:NIFTY 50,SETUP-B,LONG,24666.8,24644.79,24710.81,2.0,5,2025-09-05T11:50:00+05:30,24644.79,2025-09-05T12:15:00+05:30,SL,-22.01,-96.5,-1.0,74.49
3,NSE:NIFTY 50,SETUP-A,LONG,24814.6,24777.61,24925.56,3.0,6,2025-09-08T11:15:00+05:30,24777.61,2025-09-08T14:45:00+05:30,SL,-36.99,-111.84,-1.0,74.85
4,NSE:NIFTY 50,SETUP-A,LONG,24853.05,24814.56,24968.52,3.0,8,2025-09-09T11:20:00+05:30,24814.56,2025-09-09T12:05:00+05:30,SL,-38.49,-113.44,-1.0,74.95
5,NSE:NIFTY 50,SETUP-A,LONG,25025.95,24992.38,25126.65,3.0,5,2025-09-10T11:05:00+05:30,24992.38,2025-09-10T11:15:00+05:30,SL,-33.57,-108.98,-1.0,75.41
6,NSE:NIFTY 50,SETUP-A,LONG,24984.4,24960.66,25055.63,3.0,5,2025-09-11T12:05:00+05:30,25008.1,2025-09-11T15:25:00+05:30,EOD,23.7,-51.69,0.9983,75.39
7,NSE:NIFTY 50,SETUP-A,LONG,25114.65,25068.06,25254.42,3.0,6,2025-09-12T11:15:00+05:30,25107.7,2025-09-12T15:25:00+05:30,EOD,-6.95,-82.63,-0.1492,75.68
8,NSE:NIFTY 50,SETUP-A,LONG,25110.3,25080.87,25198.59,3.0,7,2025-09-15T11:55:00+05:30,25080.87,2025-09-15T13:40:00+05:30,SL,-29.43,-105.07,-1.0,75.64
9,NSE:NIFTY 50,SETUP-A,LONG,25174.5,25154.31,25235.06,3.0,5,2025-09-16T11:30:00+05:30,25154.31,2025-09-16T14:10:00+05:30,SL,-20.19,-96.01,-1.0,75.82
10,NSE:NIFTY 50,SETUP-A,LONG,25320.4,25194.06,25699.42,3.0,5,2025-09-17T09:20:00+05:30,25330.15,2025-09-17T15:25:00+05:30,EOD,9.75,-66.5,0.0772,76.25
11,NSE:NIFTY 50,SETUP-C,LONG,25365.0,25297.21,25534.47,2.5,6,2025-09-19T09:25:00+05:30,25297.21,2025-09-19T10:00:00+05:30,SL,-67.79,-144.03,-1.0,76.24
12,NSE:NIFTY 50,SETUP-C,LONG,25288.0,25256.28,25367.3,2.5,6,2025-09-22T09:25:00+05:30,25256.28,2025-09-22T13:55:00+05:30,SL,-31.72,-107.82,-1.0,76.1
13,NSE:NIFTY 50,SETUP-A,LONG,25113.3,25083.42,25202.93,3.0,7,2025-09-23T11:50:00+05:30,25202.93,2025-09-23T12:35:00+05:30,TP,89.63,13.79,2.9997,75.84
14,NSE:NIFTY 50,SETUP-A,SHORT,25051.9,25108.78,24881.25,3.0,8,2025-09-24T11:00:00+05:30,25108.78,2025-09-24T12:35:00+05:30,SL,-56.88,-132.5,-1.0,75.62
15,NSE:NIFTY 50,SETUP-A,SHORT,24771.2,24905.39,24368.62,3.0,5,2025-09-26T11:00:00+05:30,24673.1,2025-09-26T15:25:00+05:30,EOD,98.1,23.46,0.7311,74.64
16,NSE:NIFTY 50,SETUP-A,SHORT,24734.15,24761.98,24650.67,3.0,6,2025-09-29T11:25:00+05:30,24650.67,2025-09-29T11:45:00+05:30,TP,83.48,8.91,2.9996,74.57
17,NSE:NIFTY 50,SETUP-A,SHORT,24636.5,24661.63,24561.11,3.0,7,2025-09-30T11:50:00+05:30,24661.63,2025-09-30T12:15:00+05:30,SL,-25.13,-99.61,-1.0,74.48
18,NSE:NIFTY 50,SETUP-A,LONG,24721.05,24601.62,25079.35,3.0,5,2025-10-01T11:15:00+05:30,24853.4,2025-10-01T15:25:00+05:30,EOD,132.35,57.47,1.1082,74.88
19,NSE:NIFTY 50,SETUP-A,LONG,24823.4,24785.9,24935.89,3.0,6,2025-10-03T11:15:00+05:30,24895.0,2025-10-03T15:25:00+05:30,EOD,71.6,-3.45,1.9093,75.05
20,NSE:NIFTY 50,SETUP-A,LONG,24944.8,24895.62,25092.32,3.0,5,2025-10-06T09:40:00+05:30,25092.32,2025-10-06T14:50:00+05:30,TP,147.52,72.03,2.9996,75.49
21,NSE:NIFTY 50,SETUP-A,LONG,25177.15,25127.8,25325.19,3.0,6,2025-10-07T12:50:00+05:30,25127.8,2025-10-07T14:40:00+05:30,SL,-49.35,-125.13,-1.0,75.78
22,NSE:NIFTY 50,SETUP-C,SHORT,25159.85,25221.02,25006.93,2.5,6,2025-10-08T09:30:00+05:30,25023.8,2025-10-08T15:25:00+05:30,EOD,136.05,60.46,2.2241,75.59
23,NSE:NIFTY 50,SETUP-A,LONG,25151.05,25082.16,25357.72,3.0,6,2025-10-09T11:05:00+05:30,25170.3,2025-10-09T15:25:00+05:30,EOD,19.25,-56.57,0.2794,75.82
24,NSE:NIFTY 50,SETUP-A,LONG,25250.4,25162.17,25515.1,3.0,5,2025-10-10T09:30:00+05:30,25278.2,2025-10-10T15:25:00+05:30,EOD,27.8,-48.29,0.3151,76.09
25,NSE:NIFTY 50,SETUP-A,SHORT,25140.8,25308.56,24637.52,3.0,6,2025-10-14T11:15:00+05:30,25123.35,2025-10-14T15:25:00+05:30,EOD,17.45,-58.29,0.104,75.74
