trade_id,symbol,direction,entry_time,exit_time,entry,exit_price,sl,target,rr,r_multiple,exit_reason,smc_score,sweep_detected,bos_confirmed,choch_time,smc_breakdown
1,NSE:NIFTY BANK,SHORT,2025-12-30T09:35:00,2025-12-30T10:10:00,58798.88,58959.16,58959.16,58478.3,2.0,-1.0,SL,8,True,True,2025-12-30 09:20,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
1,NSE:NIFTY 50,LONG,2026-01-01T13:25:00,2026-01-01T15:00:00,26144.8,26161.8,26123.25,26187.89,2.0,0.7889,EOD,8,True,True,2026-01-01 12:45,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
2,NSE:NIFTY BANK,SHORT,2026-01-05T14:35:00,2026-01-05T14:50:00,59999.43,60072.42,60072.42,59853.43,2.0,-1.0,SL,8,True,True,2026-01-05 14:15,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
3,NSE:NIFTY BANK,SHORT,2026-01-06T13:50:00,2026-01-06T15:00:00,60170.57,60115.7,60277.05,59957.63,2.0,0.5153,EOD,8,False,True,2026-01-06 11:15,"{'sweep': 1, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 1, 'volume': 0}"
2,NSE:NIFTY 50,SHORT,2026-01-06T14:25:00,2026-01-06T15:00:00,26146.33,26178.5,26172.11,26094.75,2.0,-1.2479,EOD,6,False,True,2026-01-06 14:05,"{'sweep': 0, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
3,NSE:NIFTY 50,SHORT,2026-01-07T11:30:00,2026-01-07T11:50:00,26162.62,26126.1,26180.89,26126.1,2.0,1.9989,TP,7,False,True,2026-01-07 09:25,"{'sweep': 1, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
4,NSE:NIFTY 50,SHORT,2026-01-12T12:15:00,2026-01-12T12:35:00,25588.3,25706.22,25706.22,25352.45,2.0,-1.0,SL,8,True,True,2026-01-12 09:25,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
4,NSE:NIFTY BANK,SHORT,2026-01-13T14:35:00,2026-01-13T14:40:00,59425.35,59475.95,59475.95,59324.16,2.0,-1.0,SL,9,True,True,2026-01-13 14:10,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 1, 'volume': 0}"
5,NSE:NIFTY 50,LONG,2026-01-16T10:05:00,2026-01-16T10:15:00,25732.42,25822.94,25687.17,25822.94,2.0,2.0004,TP,8,True,True,2026-01-16 09:25,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
5,NSE:NIFTY BANK,LONG,2026-01-16T12:40:00,2026-01-16T12:45:00,59994.53,59979.93,60001.82,59979.93,2.0,-2.0027,TP,8,True,True,2026-01-16 09:25,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
6,NSE:NIFTY 50,LONG,2026-01-19T13:15:00,2026-01-19T13:50:00,25536.7,25582.01,25514.05,25582.01,2.0,2.0004,TP,9,True,True,2026-01-19 10:55,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 1, 'volume': 0}"
7,NSE:NIFTY 50,SHORT,2026-01-21T12:55:00,2026-01-21T15:00:00,25300.7,25177.5,25393.61,25114.88,2.0,1.326,EOD,8,True,True,2026-01-21 10:00,"{'sweep': 2, 'choch': 1, 'bos': 2, 'ob': 2, 'fvg': 1, 'zone': 0, 'volume': 0}"
