symbol,company_name,sector,source,note
APOLLOTYRE,Apollo Tyres Limited,Auto,nse_official,Automobile and Auto Components
ARE&M,Amara Raja Energy & Mobility Limited,Auto,nse_official,Automobile and Auto Components
ASAHIINDIA,Asahi India Glass Limited,Auto,nse_official,Automobile and Auto Components
ASKAUTOLTD,ASK Automotive Limited,Auto,nse_official,Automobile and Auto Components
ATHERENERG,Ather Energy Limited,Auto,nse_official,Automobile and Auto Components
BAJAJ-AUTO,Bajaj Auto Limited,Auto,nse_official,Automobile and Auto Components
BALKRISIND,Balkrishna Industries Limited,Auto,nse_official,Automobile and Auto Components
BANCOINDIA,Banco Products (I) Limited,Auto,nse_official,Automobile and Auto Components
BELRISE,Belrise Industries Limited,Auto,nse_official,Automobile and Auto Components
BHARATFORG,Bharat Forge Limited,Auto,nse_official,Automobile and Auto Components
BHARATGEAR,Bharat Gears Limited,Auto,provider,Auto Parts
BOSCHLTD,Bosch Limited,Auto,nse_official,Automobile and Auto Components
CEATLTD,CEAT Limited,Auto,nse_official,Automobile and Auto Components
CIEINDIA,CIE Automotive India Limited,Auto,nse_official,Automobile and Auto Components
CRAFTSMAN,Craftsman Automation Limited,Auto,nse_official,Automobile and Auto Components
EICHERMOT,Eicher Motors Limited,Auto,nse_official,Automobile and Auto Components
ENDURANCE,Endurance Technologies Limited,Auto,nse_official,Automobile and Auto Components
EXIDEIND,Exide Industries Limited,Auto,nse_official,Automobile and Auto Components
FIEMIND,Fiem Industries Limited,Auto,nse_official,Automobile and Auto Components
FORCEMOT,FORCE MOTORS LTD,Auto,nse_official,Automobile and Auto Components
GABRIEL,Gabriel India Limited,Auto,nse_official,Automobile and Auto Components
GANGAFORGE,Ganga Forging Limited,Auto,manual,
GRANDOAK,Grand Oak Canyons Distillery Limited,Auto,manual,
HEROMOTOCO,Hero MotoCorp Limited,Auto,nse_official,Automobile and Auto Components
HITECHGEAR,The Hi-Tech Gears Limited,Auto,provider,Auto Parts
HYUNDAI,Hyundai Motor India Limited,Auto,nse_official,Automobile and Auto Components
JAMNAAUTO,Jamna Auto Industries Limited,Auto,nse_official,Automobile and Auto Components
JBMA,JBM Auto Limited,Auto,nse_official,Automobile and Auto Components
JKTYRE,JK Tyre & Industries Limited,Auto,nse_official,Automobile and Auto Components
JTEKTINDIA,Jtekt India Limited,Auto,manual,
KALYANI,Kalyani Commercials Limited,Auto,provider,Auto & Truck Dealerships
KALYANIFRG,Kalyani Forge Limited,Auto,manual,
KMEW,Knowledge Marine & Engineering Works Limited,Auto,manual,
KROSS,Kross Limited,Auto,manual,
LUMAXIND,Lumax Industries Limited,Auto,manual,
LUMAXTECH,Lumax Auto Technologies Limited,Auto,nse_official,Automobile and Auto Components
M&M,Mahindra & Mahindra Limited,Auto,nse_official,Automobile and Auto Components
