symbol,sector,company_name,owner_label,turnover_cr
RATNAVEER,Auto,Ratnaveer Precision Engineering Limited,Automobile & Auto Components,291.38
SHADOWFAX,IT,Shadowfax Technologies Limited,Information Technology,275.11
MOREPENLAB,Pharma,Morepen Laboratories Limited,Pharmaceuticals & Healthcare,260.32
TFCILTD,Finance,Tourism Finance Corporation of India Limited,Banking & Financial Services,226.72
OMNI,Auto,Omnitech Engineering Limited,Automobile & Auto Components,154.79
KWIL,FMCG,Kwality Wall's (India) Limited,FMCG & Food,137.54
ROLEXRINGS,Auto,Rolex Rings Limited,Automobile & Auto Components,125.41
KERNEX,IT,Kernex Microsystems (India) Limited,Information Technology,111.63
MOTISONS,Consumer Services,Motisons Jewellers Limited,Retail & Consumer,101.06
MANINDS,Capital Goods,Man Industries (India) Limited,Capital Goods & Industrial Manufacturing,68.26
NELCO,Telecom,NELCO Limited,Telecom & Communication,66.31
SHREEJISPG,Services,Shreeji Shipping Global Limited,Logistics & Transportation,63.33
PANAMAPET,Energy,Panama Petrochem Limited,"Oil, Gas & Energy",58.57
SEDEMAC,Capital Goods,SEDEMAC Mechatronics Limited,Capital Goods & Industrial Manufacturing,53.21
TBZ,Consumer Services,Tribhovandas Bhimji Zaveri Limited,Retail & Consumer,52.64
RAMCOIND,Capital Goods,Ramco Industries Limited,Capital Goods & Industrial Manufacturing,51.25
MUNJALAU,Auto,Munjal Auto Industries Limited,Automobile & Auto Components,50.7
SOTL,IT,Savita Oil Technologies Limited,Information Technology,49.84
RPTECH,IT,Rashi Peripherals Limited,Information Technology,49.39
SJS,Auto,S.J.S. Enterprises Limited,Automobile & Auto Components,47.67
PNGSREVA,Consumer Services,PNGS Reva Diamond Jewellery Limited,Retail & Consumer,45.96
MARINE,Energy,Marine Electricals (India) Limited,"Oil, Gas & Energy",44.92
RHETAN,Metal,Rhetan TMT Limited,Metals & Mining,44.8
STYLEBAAZA,Consumer Services,Baazar Style Retail Limited,Retail & Consumer,44.62
UNIVCABLES,Telecom,Universal Cables Limited,Telecom & Communication,43.88
KOLTEPATIL,Infra,Kolte - Patil Developers Limited,Construction & Infrastructure,42.83
ORIENTHOT,Consumer Services,Oriental Hotels Limited,"Hotels, Travel & Leisure",41.76
KSHINTL,Capital Goods,KSH International Limited,Capital Goods & Industrial Manufacturing,41.51
MOSCHIP,IT,Moschip Technologies Limited,Information Technology,40.86
MOBIKWIK,IT,One Mobikwik Systems Limited,Information Technology,40.61
