symbol,company_name,avg_turnover_cr,sector
RATNAVEER,Ratnaveer Precision Engineering Limited,291.38,
SHADOWFAX,Shadowfax Technologies Limited,275.11,
MOREPENLAB,Morepen Laboratories Limited,260.32,
TFCILTD,Tourism Finance Corporation of India Limited,226.72,
OMNI,Omnitech Engineering Limited,154.79,
KWIL,Kwality Wall's (India) Limited,137.54,
ROLEXRINGS,Rolex Rings Limited,125.41,
KERNEX,Kernex Microsystems (India) Limited,111.63,
MOTISONS,Motisons Jewellers Limited,101.06,
MANINDS,Man Industries (India) Limited,68.26,
NELCO,NELCO Limited,66.31,
SHREEJISPG,Shreeji Shipping Global Limited,63.33,
PANAMAPET,Panama Petrochem Limited,58.57,
SEDEMAC,SEDEMAC Mechatronics Limited,53.21,
TBZ,Tribhovandas Bhimji Zaveri Limited,52.64,
RAMCOIND,Ramco Industries Limited,51.25,
MUNJALAU,Munjal Auto Industries Limited,50.7,
SOTL,Savita Oil Technologies Limited,49.84,
RPTECH,Rashi Peripherals Limited,49.39,
SJS,S.J.S. Enterprises Limited,47.67,
PNGSREVA,PNGS Reva Diamond Jewellery Limited,45.96,
MARINE,Marine Electricals (India) Limited,44.92,
RHETAN,Rhetan TMT Limited,44.8,
STYLEBAAZA,Baazar Style Retail Limited,44.62,
UNIVCABLES,Universal Cables Limited,43.88,
KOLTEPATIL,Kolte - Patil Developers Limited,42.83,
ORIENTHOT,Oriental Hotels Limited,41.76,
KSHINTL,KSH International Limited,41.51,
MOSCHIP,Moschip Technologies Limited,40.86,
MOBIKWIK,One Mobikwik Systems Limited,40.61,
RICOAUTO,Rico Auto Industries Limited,40.46,
VINCOFE,Vintage Coffee And Beverages Limited,40.42,
SBC,SBC Exports Limited,40.19,
SENORES,Senores Pharmaceuticals Limited,39.9,
UFLEX,UFLEX Limited,38.81,
ROSSTECH,Rossell Techsys Limited,37.74,
UNIMECH,Unimech Aerospace and Manufacturing Limited,36.41,
PRECWIRE,Precision Wires India Limited,36.22,
RAYMOND,Raymond Limited,35.19,
KIRIINDUS,Kiri Industries Limited,34.31,
NILKAMAL,Nilkamal Limited,33.8,
KMEW,Knowledge Marine & Engineering Works Limited,32.91,
SOLARA,Solara Active Pharma Sciences Limited,32.65,
TVSSRICHAK,TVS Srichakra Limited,31.79,
VADILALIND,Vadilal Industries Limited,31.64,
TARSONS,Tarsons Products Limited,30.31,
SUVEN,Suven Life Sciences Limited,29.21,
ORISSAMINE,The Orissa Minerals Development Company Limited,29.02,
NRBBEARING,NRB Bearing Limited,28.59,
STOVEKRAFT,Stove Kraft Limited,28.38,
KDDL,KDDL Limited,28.36,
