symbol,company_name,reason,turnover_cr
ICICIB22,,not_equity_or_delisted,4.55
FELIX-SM,,not_equity_or_delisted,0.87
SGBSEP28VI-GB,,not_equity_or_delisted,0.81
SBIETFPB,,not_equity_or_delisted,0.66
SBIETFIT,,not_equity_or_delisted,0.59
MOGSEC,,not_equity_or_delisted,0.55
SGBOC28VII-GB,,not_equity_or_delisted,0.33
868NHB29-N3,,not_equity_or_delisted,0.24
OMFURN-SM,,not_equity_or_delisted,0.19
SGBN28VIII-GB,,not_equity_or_delisted,0.19
875NHAI29-N6,,not_equity_or_delisted,0.12
ESG,,not_equity_or_delisted,0.12
AISL-SM,,not_equity_or_delisted,0.1
840IRFC29-N8,,not_equity_or_delisted,0.09
865IRFC29-NA,,not_equity_or_delisted,0.08
GOLDSTAR-SM,,not_equity_or_delisted,0.06
850NHAI29-N5,,not_equity_or_delisted,0.06
667GS2050-GS,,not_equity_or_delisted,0.04
893NHB29-N6,,not_equity_or_delisted,0.04
94SFL28-YL,,not_equity_or_delisted,0.03
880IREDA29-N5,,not_equity_or_delisted,0.03
PULZ-SM,,not_equity_or_delisted,0.02
PARAMPARA-SM,,not_equity_or_delisted,0.02
855IREDA34-N3,,not_equity_or_delisted,0.02
MHHL-SM,,not_equity_or_delisted,0.02
890NHB34-N7,,not_equity_or_delisted,0.02
SANWARIA-BZ,,not_equity_or_delisted,0.01
903SFL28-YI,,not_equity_or_delisted,0.01
622GS2035-GS,,not_equity_or_delisted,0.01
585GS2030-GS,,not_equity_or_delisted,0.01
855IREDA29-N2,,not_equity_or_delisted,0.01
880IREDA34-N6,,not_equity_or_delisted,0.01
865NHB34-N4,,not_equity_or_delisted,0.01
ASHIKA,,not_equity_or_delisted,0.0
CIGNITITEC,,not_equity_or_delisted,0.0
GSPL,,not_equity_or_delisted,0.0
GUJGASLTD,,not_equity_or_delisted,0.0
LYPSAGEMS,,not_equity_or_delisted,0.0
MAHAPE-RE,,not_equity_or_delisted,0.0
MIRCELECTR,,not_equity_or_delisted,0.0
OMKARCHEM,,not_equity_or_delisted,0.0
SANCO,,not_equity_or_delisted,0.0
SASTASUNDR,,not_equity_or_delisted,0.0
VISASTEEL,,not_equity_or_delisted,0.0
WIMPLAST,,not_equity_or_delisted,0.0
MILTON-ST,,not_equity_or_delisted,0.0
SMVD-ST,,not_equity_or_delisted,0.0
AXISBNKETF,,not_equity_or_delisted,0.0
VASA-SM,,not_equity_or_delisted,0.0
GLOBAL-BE,,not_equity_or_delisted,0.0
AKZOINDIA,,not_equity_or_delisted,0.0
AURIGROW-BE,,not_equity_or_delisted,0.0
CANARABANK,,not_equity_or_delisted,0.0
LTIMINDTREE,,not_equity_or_delisted,0.0
ZOMATO,,not_equity_or_delisted,0.0
MCDOWELL-N,,not_equity_or_delisted,0.0
DEEPAKNITRITE,,not_equity_or_delisted,0.0
