regime,horizon,symbol,sector,setup,setup_bucket,scan_date,entry_date,exit_date,entry,stop_loss,target,exit_price,exit_reason,return_pct,gross_return_pct,confidence,risk_dist_pct,reward_dist_pct,planned_rr
bear_down 2024-06..09,SWING,NSE:ADANIPOWER,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-06-02,2024-06-02,2024-06-02,174.09,113.46,152.02,151.94,TARGET_HIT,-12.92,-12.63,79.02,34.83,12.68,0.36
bear_down 2024-06..09,SWING,NSE:ADANIENT,Infra,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-06-02,2024-06-02,2024-06-03,3723.56,2734.46,3889.66,2733.09,STOP_LOSS,-26.8,-26.53,68.85,26.56,4.46,0.17
bear_down 2024-06..09,SWING,NSE:ANANDRATHI,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-06-02,2024-06-02,2024-06-03,2125.18,1879.23,2132.43,1878.29,STOP_LOSS,-11.82,-11.53,66.56,11.57,0.34,0.03
bear_down 2024-06..09,SWING,NSE:ADANIENSOL,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-06-02,2024-06-02,2024-06-02,1249.62,964.51,1221.99,1221.38,TARGET_HIT,-2.46,-2.16,61.16,22.82,2.21,0.1
bear_down 2024-06..09,SWING,NSE:AAVAS,Unknown,SMC_SWING_SCORE_70_HIGH_CONVICTION_NEUTRAL,other,2024-06-02,2024-06-02,2024-06-03,1673.24,1506.91,1930.87,1506.16,STOP_LOSS,-10.19,-9.9,53.75,9.94,15.4,1.55
bear_down 2024-06..09,SWING,NSE:AAVAS,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_CHOCH,CHOCH_reversal,2024-06-11,2024-06-11,2024-07-02,1870.43,1449.76,2102.32,1858.07,TIME_EXIT,-0.86,-0.56,94.72,22.49,12.4,0.55
bear_down 2024-06..09,SWING,NSE:ABSLAMC,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-06-11,2024-06-11,2024-06-11,595.53,477.03,603.75,603.45,TARGET_HIT,1.13,1.43,86.2,19.9,1.38,0.07
bear_down 2024-06..09,SWING,NSE:ANANTRAJ,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_CHOCH,CHOCH_reversal,2024-06-11,2024-06-11,2024-07-02,426.58,315.22,590.34,485.87,TIME_EXIT,13.7,14.01,78.45,26.11,38.39,1.47
bear_down 2024-06..09,SWING,NSE:ABFRL,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_CHOCH,CHOCH_reversal,2024-06-11,2024-06-11,2024-07-02,325.16,246.11,375.95,326.99,TIME_EXIT,0.36,0.66,70.55,24.31,15.62,0.64
bear_down 2024-06..09,SWING,NSE:3MINDIA,Unknown,SMC_SWING_SCORE_100_HIGH_CONVICTION_BULLISH_BOS,BOS_continuation,2024-06-11,2024-06-11,2024-07-01,34435.06,27293.91,39401.83,39382.13,TARGET_HIT,14.17,14.48,69.39,20.74,14.42,0.7
