Symbol,Date,Direction,Entry,SL,Target,Exit,Exit_Reason,R_Multiple,Score,Hold_Candles,Details
NSE:NIFTY 50,2026-01-01 13:20,SHORT,26130.55,26151.07,26089.51,26151.07,SL,-1.0,7,1,Expansion 3.0× | Strong expansion bonus | Trend aligned | Momentum acceleration | Gap-down context
NSE:NIFTY 50,2026-01-02 14:30,SHORT,26285.65,26298.63,26259.69,26298.63,SL,-1.0,6,6,Expansion 2.4× | Trend aligned | Momentum acceleration | Gap-down context
NSE:NIFTY 50,2026-01-05 10:05,LONG,26335.35,26300.84,26404.37,26300.84,SL,-1.0,5,38,Expansion 1.7× | Trend aligned | Momentum acceleration
NSE:NIFTY 50,2026-01-05 13:45,SHORT,26269.95,26286.95,26235.95,26235.95,TP,2.0,6,3,Expansion 1.7× | Trend aligned | Momentum acceleration | Gap-down context
NSE:NIFTY 50,2026-01-06 11:10,SHORT,26194.45,26215.1,26153.14,26153.14,TP,2.0005,6,1,Expansion 1.7× | Trend aligned | Momentum acceleration | Gap-down context
NSE:NIFTY 50,2026-01-07 10:50,LONG,26165.85,26140.74,26216.08,26140.74,SL,-1.0,6,5,Expansion 1.5× | Trend aligned | Momentum acceleration | Gap-up context
NSE:NIFTY 50,2026-01-07 12:40,SHORT,26083.25,26100.72,26048.31,26100.72,SL,-1.0,5,4,Expansion 1.9× | Trend aligned | Momentum acceleration
NSE:NIFTY 50,2026-01-08 11:20,SHORT,25969.0,25987.01,25932.97,25987.01,SL,-1.0,6,4,Expansion 2.4× | Trend aligned | Momentum acceleration | Gap-down context
NSE:NIFTY 50,2026-01-09 11:35,SHORT,25759.95,25786.96,25705.92,25705.92,TP,2.0004,6,12,Expansion 1.7× | Trend aligned | Momentum acceleration | Gap-down context
NSE:NIFTY 50,2026-01-09 13:40,SHORT,25683.8,25709.91,25631.57,25631.57,TP,2.0004,5,12,Expansion 1.6× | Trend aligned | Momentum acceleration
NSE:NIFTY 50,2026-01-12 11:30,SHORT,25475.0,25500.18,25424.63,25500.18,SL,-1.0,6,5,Expansion 1.5× | Trend aligned | Momentum acceleration | Gap-down context
NSE:NIFTY 50,2026-01-12 13:30,LONG,25745.25,25707.46,25820.82,25707.46,SL,-1.0,7,13,Expansion 2.8× | Strong expansion bonus | Trend aligned | Momentum acceleration | Gap-up context
NSE:NIFTY 50,2026-01-14 09:50,LONG,25742.45,25695.13,25837.09,25695.13,SL,-1.0,5,4,Expansion 1.6× | Trend aligned | Momentum acceleration
NSE:NIFTY 50,2026-01-14 13:20,SHORT,25717.15,25738.89,25673.68,25673.68,TP,1.9995,5,3,Expansion 1.7× | Trend aligned | Momentum acceleration
NSE:NIFTY 50,2026-01-16 10:15,LONG,25837.1,25798.07,25915.17,25798.07,SL,-1.0,5,16,Expansion 2.4× | Trend aligned | Momentum acceleration
NSE:NIFTY 50,2026-01-16 12:25,SHORT,25752.05,25778.52,25699.1,25699.1,TP,2.0004,7,11,Expansion 3.2× | Strong expansion bonus | Trend aligned | Momentum acceleration | Gap-down context
NSE:NIFTY 50,2026-01-19 10:55,LONG,25548.1,25519.2,25605.9,25519.2,SL,-1.0,5,5,Expansion 1.6× | Trend aligned | Momentum acceleration
NSE:NIFTY 50,2026-01-19 13:45,LONG,25576.05,25552.46,25623.23,25623.23,TP,2.0,5,4,Expansion 1.6× | Trend aligned | Momentum acceleration
NSE:NIFTY 50,2026-01-20 13:30,SHORT,25394.75,25413.34,25357.57,25357.57,TP,2.0,5,6,Expansion 1.6× | Trend aligned | Momentum acceleration
NSE:NIFTY 50,2026-01-21 10:40,SHORT,25029.0,25073.72,24939.57,24939.57,TP,1.9998,6,3,Expansion 1.8× | Trend aligned | Momentum acceleration | Gap-down context
NSE:NIFTY 50,2026-01-21 12:00,LONG,25116.65,25070.03,25209.88,25209.88,TP,1.9998,5,7,Expansion 2.0× | Trend aligned | Momentum acceleration
NSE:NIFTY 50,2026-01-22 10:25,SHORT,25291.9,25337.67,25200.36,25200.36,TP,2.0,5,15,Expansion 1.6× | Trend aligned | Momentum acceleration
NSE:NIFTY 50,2026-01-23 13:15,SHORT,25148.95,25179.79,25087.28,25087.28,TP,1.9997,5,3,Expansion 2.1× | Trend aligned | Momentum acceleration
NSE:NIFTY 50,2026-01-27 09:35,LONG,25091.5,25033.12,25208.27,25033.12,SL,-1.0,6,13,Expansion 1.6× | Trend aligned | Momentum acceleration | Gap-up context
NSE:NIFTY 50,2026-01-27 11:40,LONG,25154.65,25104.58,25254.79,25104.58,SL,-1.0,6,2,Expansion 2.0× | Trend aligned | Momentum acceleration | Gap-up context
NSE:NIFTY 50,2026-01-29 13:30,LONG,25374.05,25345.51,25431.13,25431.13,TP,2.0,6,3,Expansion 2.0× | Trend aligned | Momentum acceleration | Gap-up context
