symbol,direction,entry_price,exit_price,stop_loss,target,rr,pnl,result,confidence,bars_held,entry_time,exit_time
NSE:NIFTY 50,SHORT,26182.74105,26152.61,26227.73,26152.61,3.0,30.13,WIN,6.0,6,2026-01-06 10:45:00,2026-01-06 11:15:00
NSE:NIFTY 50,SHORT,26128.69515,26224.60841,26198.41,26024.17,3.0,-95.91,LOSS,6.5,6,2026-01-06 11:20:00,2026-01-06 11:50:00
NSE:NIFTY 50,LONG,25769.1434,25706.31795,25732.05,25777.44,3.0,-62.83,LOSS,5.8,1,2026-01-13 09:50:00,2026-01-13 09:55:00
NSE:NIFTY 50,LONG,25373.1478,25305.669,25331.0,25398.22,3.0,-67.48,LOSS,6.3,1,2026-01-22 10:20:00,2026-01-22 10:25:00
NSE:NIFTY 50,LONG,25336.16085,25134.370469999998,25159.53,25764.81,3.0,-201.79,LOSS,5.8,108,2026-01-22 10:30:00,2026-01-23 13:15:00
NSE:NIFTY BANK,LONG,60108.048,60350.15,59947.28,60350.15,3.0,242.1,WIN,6.5,69,2026-01-02 09:45:00,2026-01-05 09:15:00
NSE:NIFTY BANK,LONG,59596.6371,59401.68885,59461.15,59764.94,3.0,-194.95,LOSS,5.8,36,2026-01-13 09:45:00,2026-01-13 12:45:00
NSE:NIFTY BANK,SHORT,59245.0956,59398.869529999996,59339.53,59199.0,3.0,-153.77,LOSS,5.8,3,2026-01-28 14:10:00,2026-01-28 14:25:00
NSE:NIFTY FIN SERVICE,LONG,28028.8008,27946.8252,27974.8,28078.8,3.0,-81.98,LOSS,5.9,4,2026-01-06 10:40:00,2026-01-06 11:00:00
NSE:NIFTY FIN SERVICE,LONG,27639.66205,27551.960460000002,27579.54,27709.59,3.0,-87.7,LOSS,5.4,1,2026-01-13 10:30:00,2026-01-13 10:35:00
NSE:NIFTY FIN SERVICE,LONG,27630.15255,27665.32,27581.63,27665.32,3.0,35.17,WIN,5.9,8,2026-01-13 10:55:00,2026-01-13 11:35:00
